example_id                                                                          | status | run_time        |
./spec/unit/brand_logo/strategies/scraping/default_favicon_checker_spec.rb[1:1:2:1] | passed | 0.00006 seconds |
./spec/unit/brand_logo/strategies/scraping/dimensions_extractor_spec.rb[1:1:1:1]    | passed | 0.0022 seconds  |
./spec/unit/brand_logo/strategies/scraping/dimensions_extractor_spec.rb[1:1:2:1]    | passed | 0.0001 seconds  |
./spec/unit/brand_logo/strategies/scraping/dimensions_extractor_spec.rb[1:1:3:1]    | passed | 0.00009 seconds |
./spec/unit/brand_logo/strategies/scraping/dimensions_extractor_spec.rb[1:1:4:1]    | passed | 0.00012 seconds |
./spec/unit/brand_logo/strategies/scraping/icon_finder_spec.rb[1:1:1:1]             | passed | 0.00085 seconds |
./spec/unit/brand_logo/strategies/scraping/icon_finder_spec.rb[1:1:2:1]             | passed | 0.01082 seconds |
./spec/unit/brand_logo/strategies/scraping/icon_finder_spec.rb[1:1:3:1]             | passed | 0.0002 seconds  |
./spec/unit/brand_logo/strategies/scraping/icon_finder_spec.rb[1:1:4:1]             | passed | 0.00046 seconds |
./spec/unit/brand_logo/strategies/scraping/icon_finder_spec.rb[1:1:5:1]             | passed | 0.0006 seconds  |
./spec/unit/brand_logo/strategies/scraping/url_normalizer_spec.rb[1:1:1]            | passed | 0.00003 seconds |
./spec/unit/brand_logo/strategies/scraping/url_normalizer_spec.rb[1:1:2]            | passed | 0.00009 seconds |
./spec/unit/brand_logo/strategies/scraping/url_normalizer_spec.rb[1:1:3]            | passed | 0.00015 seconds |
./spec/unit/brand_logo/strategies/scraping/url_normalizer_spec.rb[1:1:4]            | passed | 0.00007 seconds |
./spec/unit/brand_logo/strategies/scraping/url_normalizer_spec.rb[1:1:5]            | passed | 0.00006 seconds |
./spec/unit/brand_logo/strategies/scraping/url_normalizer_spec.rb[1:2:1]            | passed | 0.0001 seconds  |
./spec/unit/brand_logo/strategies/scraping_strategy_spec.rb[1:1]                    | passed | 0.00034 seconds |
./spec/unit/brand_logo/strategies/scraping_strategy_spec.rb[1:2]                    | passed | 0.00017 seconds |
./spec/unit/brand_logo/strategies/scraping_strategy_spec.rb[1:3:1:1]                | passed | 0.00008 seconds |
./spec/unit/brand_logo/strategies/scraping_strategy_spec.rb[1:4:1:1]                | passed | 0.00007 seconds |
./spec/unit/brand_logo/strategies/scraping_strategy_spec.rb[1:4:2]                  | passed | 0.00009 seconds |
./spec/unit/brand_logo/strategies/scraping_strategy_spec.rb[1:5:1:1]                | passed | 0.00079 seconds |
./spec/unit/brand_logo/strategies/scraping_strategy_spec.rb[1:5:2:1]                | passed | 0.00063 seconds |
./spec/unit/brand_logo/strategies/scraping_strategy_spec.rb[1:5:3:1]                | passed | 0.00091 seconds |
./spec/unit/brand_logo/strategies/scraping_strategy_spec.rb[1:5:4:1]                | passed | 0.00015 seconds |
./spec/unit/brand_logo/strategies/scraping_strategy_spec.rb[1:5:5:1]                | passed | 0.00114 seconds |
./spec/unit/brand_logo/strategies/scraping_strategy_spec.rb[1:5:6:1]                | passed | 0.00048 seconds |
./spec/unit/brand_logo/strategies/scraping_strategy_spec.rb[1:5:7:1]                | passed | 0.00056 seconds |
./spec/unit/brand_logo/strategies/scraping_strategy_spec.rb[1:6:1:1]                | passed | 0.00039 seconds |
./spec/unit/brand_logo/strategies/scraping_strategy_spec.rb[1:6:2:1]                | passed | 0.00062 seconds |
./spec/unit/brand_logo/strategies/scraping_strategy_spec.rb[1:6:3:1]                | passed | 0.00044 seconds |
